N:\SkyDrive\src\SBU\AI\project2\multiagent>python pacman.py -p AlphaBetaAgent -a
 depth=3,evalFn=smartScorer,profile=True -l smallClassic -n 10 --frameTime 0.01
>> alpha_beta_smart_report.txt


+==================+
| % | AB | Minimax |
+==================+

30 %	138 	452
28 %	137 	477
24 %	234 	942
31 %	342 	1091
19 %	97 	490
53 %	54 	101
59 %	159 	267
55 %	60 	108
59 %	78 	132
54 %	51 	93
55 %	45 	81
53 %	42 	78
53 %	42 	78
53 %	42 	78
53 %	42 	78
53 %	42 	78
51 %	51 	100
55 %	98 	178
48 %	236 	488
40 %	135 	333
50 %	169 	333
48 %	95 	194
41 %	161 	386
53 %	108 	202
53 %	175 	325
56 %	63 	111
59 %	87 	147
57 %	57 	99
48 %	72 	150
41 %	145 	352
38 %	235 	603
51 %	179 	348
47 %	131 	275
34 %	259 	757
35 %	255 	718
36 %	191 	529
36 %	330 	915
29 %	214 	736
39 %	184 	461
26 %	517 	1949
39 %	593 	1508
45 %	282 	616
42 %	576 	1352
35 %	533 	1508
14 %	126 	886
19 %	234 	1210
13 %	225 	1642
22 %	192 	852
13 %	106 	788
16 %	99 	617
53 %	54 	101
36 %	158 	432
42 %	135 	321
25 %	145 	570
27 %	164 	590
43 %	362 	830
47 %	148 	310
42 %	201 	471
47 %	94 	200
31 %	102 	322
34 %	58 	166
36 %	72 	196
50 %	70 	138
49 %	94 	190
45 %	64 	141
41 %	68 	163
Pacman emerges victorious! Score: 1377
14 %	80 	552
16 %	326 	1949
17 %	402 	2256
23 %	466 	1965
21 %	260 	1218
41 %	60 	144
38 %	181 	465
21 %	379 	1771
32 %	202 	621
16 %	112 	661
55 %	30 	54
47 %	95 	201
45 %	92 	202
38 %	101 	261
54 %	51 	93
41 %	49 	119
40 %	58 	144
33 %	64 	190
34 %	50 	144
30 %	70 	226
40 %	58 	144
41 %	128 	312
44 %	154 	343
36 %	297 	809
45 %	143 	316
48 %	187 	388
45 %	136 	299
37 %	109 	288
57 %	57 	99
58 %	60 	102
60 %	99 	165
60 %	99 	165
58 %	60 	102
57 %	57 	99
59 %	87 	147
60 %	99 	165
60 %	72 	120
60 %	102 	168
60 %	111 	183
59 %	105 	177
60 %	99 	165
56 %	61 	108
49 %	90 	182
39 %	206 	524
47 %	298 	632
49 %	226 	458
48 %	47 	96
22 %	55 	246
21 %	138 	650
23 %	158 	678
31 %	320 	1030
28 %	79 	279
42 %	94 	219
55 %	30 	54
60 %	81 	135
55 %	60 	108
58 %	79 	135
42 %	60 	141
36 %	126 	341
44 %	129 	293
45 %	171 	374
41 %	114 	277
37 %	124 	331
12 %	133 	1028
15 %	228 	1450
12 %	150 	1208
10 %	312 	2897
13 %	209 	1570
11 %	116 	968
12 %	287 	2256
18 %	303 	1628
23 %	410 	1730
44 %	578 	1298
45 %	337 	743
48 %	364 	758
24 %	102 	417
14 %	136 	943
30 %	74 	244
16 %	108 	639
45 %	40 	88
47 %	33 	69
51 %	16 	31
32 %	16 	49
15 %	20 	132
Pacman emerges victorious! Score: 1566
14 %	80 	552
16 %	326 	1949
17 %	336 	1884
20 %	344 	1674
19 %	397 	2042
24 %	400 	1617
22 %	515 	2298
18 %	558 	3028
24 %	578 	2372
17 %	603 	3437
35 %	272 	759
10 %	110 	1007
51 %	96 	187
40 %	369 	921
39 %	148 	374
20 %	152 	737
22 %	73 	319
24 %	123 	504
32 %	86 	264
19 %	116 	590
24 %	64 	264
26 %	116 	446
40 %	58 	144
46 %	118 	255
55 %	98 	178
45 %	258 	570
30 %	189 	621
36 %	389 	1053
45 %	170 	374
37 %	311 	833
51 %	192 	374
47 %	429 	897
22 %	85 	386
22 %	162 	713
43 %	77 	178
45 %	150 	328
37 %	380 	1002
34 %	291 	851
52 %	98 	186
45 %	89 	195
33 %	217 	655
31 %	400 	1263
47 %	163 	345
40 %	226 	555
17 %	93 	538
51 %	96 	187
51 %	337 	657
45 %	88 	194
30 %	137 	450
21 %	82 	374
18 %	155 	833
22 %	73 	319
27 %	167 	618
49 %	130 	264
49 %	266 	542
50 %	161 	319
47 %	353 	737
40 %	80 	200
35 %	207 	576
38 %	223 	578
23 %	223 	950
31 %	186 	590
29 %	341 	1137
49 %	92 	185
50 %	120 	236
51 %	74 	144
47 %	117 	244
49 %	130 	264
43 %	178 	413
28 %	34 	118
14 %	20 	138
Pacman emerges victorious! Score: 1379
14 %	80 	552
16 %	326 	1949
17 %	402 	2256
23 %	466 	1965
27 %	129 	472
29 %	338 	1164
36 %	231 	633
27 %	210 	757
26 %	332 	1246
19 %	276 	1396
20 %	405 	1947
14 %	107 	716
51 %	96 	187
52 %	350 	666
28 %	111 	388
12 %	196 	1577
20 %	99 	476
23 %	117 	488
30 %	164 	544
16 %	140 	866
15 %	118 	742
20 %	148 	710
32 %	84 	256
42 %	169 	400
47 %	464 	972
46 %	717 	1553
29 %	173 	595
44 %	121 	275
39 %	154 	392
25 %	141 	563
39 %	169 	426
43 %	126 	291
31 %	275 	863
31 %	271 	857
53 %	157 	296
48 %	133 	275
31 %	210 	670
21 %	117 	537
28 %	233 	806
48 %	473 	969
44 %	155 	345
44 %	249 	565
22 %	103 	450
49 %	112 	226
45 %	219 	483
50 %	121 	238
28 %	103 	365
25 %	128 	504
30 %	189 	615
39 %	196 	499
38 %	559 	1445
35 %	471 	1329
25 %	111 	438
38 %	53 	137
29 %	55 	188
41 %	121 	291
53 %	79 	149
48 %	109 	227
58 %	77 	131
55 %	59 	107
58 %	77 	131
54 %	50 	92
47 %	56 	118
45 %	65 	143
28 %	65 	225
28 %	52 	180
28 %	72 	256
40 %	46 	114
38 %	88 	226
27 %	188 	680
23 %	388 	1645
30 %	396 	1289
44 %	233 	524
33 %	385 	1146
40 %	360 	885
41 %	134 	326
28 %	88 	310
23 %	83 	352
34 %	52 	149
40 %	80 	196
46 %	23 	49
45 %	41 	91
54 %	47 	87
47 %	72 	152
44 %	144 	322
39 %	104 	261
43 %	469 	1082
45 %	116 	256
38 %	321 	842
23 %	217 	932
17 %	355 	2088
24 %	1030 	4142
37 %	736 	1970
27 %	401 	1468
9 %	261 	2699
13 %	187 	1393
19 %	81 	406
16 %	103 	615
14 %	184 	1256
22 %	80 	356
15 %	63 	403
8 %	48 	549
Pacman emerges victorious! Score: 1548
14 %	80 	552
16 %	326 	1949
17 %	402 	2256
23 %	446 	1861
24 %	84 	338
36 %	161 	443
47 %	178 	377
29 %	216 	737
35 %	523 	1459
23 %	82 	342
51 %	96 	187
55 %	325 	585
34 %	72 	207
14 %	130 	905
16 %	124 	747
25 %	112 	448
33 %	132 	394
23 %	76 	328
21 %	84 	394
24 %	86 	358
30 %	90 	292
42 %	145 	343
42 %	218 	512
37 %	209 	554
36 %	236 	649
50 %	316 	630
